line,class_value
/* F_Block_ID dissection due to ver2.6 specifikation of PI */,1
static const value_string pn_io_f_block_id[] = {,1
"    { 0x00, ""No F_WD_Time_2, no F_iPar_CRC"" },",1
"    { 0x01, ""No F_WD_Time_2, F_iPar_CRC"" },",1
"    { 0x02, ""F_WD_Time_2, no F_iPar_CRC"" },",1
"    { 0x03, ""F_WD_Time_2, F_iPar_CRC"" },",1
    /* 0x04..0x07 reserved */,1
"    /* { 0x00, ""Parameter set for F-Host/F-Device relationship"" }, */",1
"    /* { 0x01, ""Additional F_Address parameter block"" }, */",1
    /* 0x02..0x07 reserved */,1
static const value_string pn_io_f_par_version[] = {,1
"    { 0x00, ""Valid for V1-mode"" },",1
"    { 0x01, ""Valid for V2-mode"" },",1
    /* 0x02..0x03 reserved */,1
static const value_string pn_io_profidrive_request_id_vals[] = {,1
"    { 0x00, ""Reserved"" },",1
"    { 0x01, ""Read request"" },",1
"    { 0x02, ""Change request"" },",1
static const value_string pn_io_profidrive_response_id_vals[] = {,1
"    { 0x01, ""Positive read response"" },",1
"    { 0x02, ""Positive change response"" },",1
"    { 0x81, ""Negative read response"" },",1
"    { 0x82, ""Negative change response"" },",1
static const value_string pn_io_profidrive_attribute_vals[] = {,1
"    { 0x10, ""Value"" },",1
"    { 0x20, ""Description"" },",1
"    { 0x30, ""Text"" },",1
static const value_string pn_io_profidrive_format_vals[] = {,1
"    {0x01, ""Boolean"" },",1
"    {0x02, ""Integer8"" },",1
"    {0x03, ""Integer16"" },",1
"    {0x04, ""Integer32"" },",1
"    {0x05, ""Unsigned8"" },",1
"    {0x06, ""Unsigned16"" },",1
"    {0x07, ""Unsigned32"" },",1
"    {0x08, ""Float32"" },",1
"    {0x09, ""VisibleString"" },",1
"    {0x0A, ""OctetString"" },",1
"    {0x0C, ""TimeOfDay"" },",1
"    {0x0D, ""TimeDifference"" },",1
"    {0x32, ""Date"" },",1
"    {0x34, ""TimeOfDay"" },",1
"    {0x35, ""TimeDifference"" },",1
"    {0x36, ""TimeDifference"" },",1
static const range_string pn_io_rs_block_type[] = {,1
    /* Following ranges are used for events */,1
"    { 0x0000, 0x0000, ""reserved"" },",1
"    { 0x0001, 0x3FFF, ""Manufacturer specific"" },",1
"    { 0x4000, 0x4000, ""Stop observer - Observer Status Observer"" },",1
"    { 0x4001, 0x4001, ""Buffer observer - RS_BufferObserver"" },",1
"    { 0x4002, 0x4002, ""Time status observer - RS_TimeStatus"" },",1
"    { 0x4003, 0x4003, ""System redundancy layer observer - RS_SRLObserver"" },",1
"    { 0x4004, 0x4004, ""Source identification observer - RS_SourceIdentification"" },",1
"    { 0x4005, 0x400F, ""reserved"" },",1
"    { 0x4010, 0x4010, ""Digital input observer - SoE_DigitalInputObserver"" },",1
"    { 0x4011, 0x6FFF, ""Reserved for normative usage"" },",1
"    { 0x7000, 0x7FFF, ""Reserved for profile usage"" },",1
    /* Following ranges are used for adjust */,1
"    { 0x8000, 0x8000, ""reserved"" },",1
"    { 0x8001, 0xBFFF, ""Manufacturer specific"" },",1
"    { 0xC000, 0xC00F, ""Reserved for normative usage"" },",1
"    { 0xC010, 0xC010, ""Digital input observer - SoE_DigitalInputObserver"" },",1
"    { 0xC011, 0xEFFF, ""Reserved for normative usage""},",1
"    { 0xF000, 0xFFFF, ""Reserved for profile usage""},",1
"    { 0, 0, NULL }",1
static const value_string pn_io_rs_specifier_specifier[] = {,1
"    { 0x0, ""Current value"" },",1
"    { 0x1, ""Appears"" },",1
"    { 0x2, ""Disappears"" },",1
"    { 0x3, ""Reserved"" },",1
static const value_string pn_io_rs_time_stamp_status[] = {,1
"    { 0x0, ""TimeStamp related to global synchronized time"" },",1
"    { 0x1, ""TimeStamp related to local time"" },",1
"    { 0x2, ""TimeStamp related to local (arbitrary timescale) time"" },",1
static const value_string pn_io_rs_reason_code_reason[] = {,1
"    { 0x00000001, ""Observed data status unclear"" },",1
"    { 0x00000002, ""Buffer overrun"" },",1
    /* 0x0003 - 0xFFFF Reserved */,1
static const value_string pn_io_rs_reason_code_detail[] = {,1
"    { 0x00000000, ""No Detail"" },",1
    /* 0x0001 - 0xFFFF Reserved */,1
static const value_string pn_io_soe_digital_input_current_value_value[] = {,1
"    { 0x0, ""Digital input is zero"" },",1
"    { 0x1, ""Digital input is one"" },",1
static const value_string pn_io_soe_adjust_specifier_incident[] = {,1
"    { 0x01, ""Rising edge"" },",1
"    { 0x02, ""Falling edge"" },",1
"    { 0x03, ""Reserved"" },",1
static const value_string pn_io_rs_properties_alarm_transport[] = {,1
"    { 0x00000000, ""Default Reporting system events need to be read by record "" },",1
"    { 0x00000001, ""Reporting system events shall be forwarded to the IOC using the alarm transport"" },",1
static const value_string pn_io_am_location_structure_vals[] = {,1
"    { 0x01, ""Twelve level tree format"" },",1
"    { 0x02, ""Slot - and SubslotNumber format"" },",1
static const range_string pn_io_am_location_level_vals[] = {,1
"    { 0x0000, 0x03FE, ""Address information to identify a reported node"" },",1
"    { 0x03FF, 0x03FF, ""Level not used"" },",1
static const value_string pn_io_am_location_reserved_vals[] = {,1
static const range_string pn_io_RedundancyDataHoldFactor[] = {,1
"    { 0x0000, 0x0002, ""Reserved"" },",1
"    { 0x0003, 0x00C7, ""Optional - An expiration of the time leads to an AR termination."" },",1
"    { 0x00C8, 0xFFFF, ""Mandatory - An expiration of the time leads to an AR termination."" },",1
static const value_string pn_io_ar_arnumber[] = {,1
"    { 0x0001, ""1st AR of an ARset"" },",1
"    { 0x0002, ""2nd AR of an ARset"" },",1
"    { 0x0003, ""3rd AR of an ARset"" },",1
"    { 0x0004, ""4th AR of an ARset"" },",1
static const value_string pn_io_ar_arresource[] = {,1
"    { 0x0002, ""Communication endpoint shall allocate two ARs for the ARset"" },",1
    /*0x0001 and 0x0003 - 0xFFFF reserved */,1
static const range_string pn_io_line_delay_value[] = {,1
"    { 0x00000000, 0x00000000, ""Line delay and cable delay unknown"" },",1
"    { 0x00000001, 0x7FFFFFFF, ""Line delay in nanoseconds"" },",1
static const range_string pn_io_cable_delay_value[] = {,1
"    { 0x00000000, 0x00000000, ""Reserved"" },",1
"    { 0x00000001, 0x7FFFFFFF, ""Cable delay in nanoseconds"" },",1
static const true_false_string pn_io_pdportstatistic_counter_status_ifInOctets = {,1
"    ""The content of the field ifInOctets is invalid. It shall be set to zero."",",1
"    ""The content of the field ifInOctets is valid""",1
static const true_false_string pn_io_pdportstatistic_counter_status_ifOutOctets = {,1
"    ""The content of the field ifOutOctets is invalid. It shall be set to zero."",",1
"    ""The content of the field ifOutOctet is valid""",1
static const true_false_string pn_io_pdportstatistic_counter_status_ifInDiscards = {,1
"    ""The content of the field ifInDiscards is invalid. It shall be set to zero."",",1
"    ""The content of the field ifInDiscards is valid""",1
static const true_false_string pn_io_pdportstatistic_counter_status_ifOutDiscards = {,1
"    ""The content of the field ifOutDiscards is invalid. It shall be set to zero."",",1
"    ""The content of the field ifOutDiscards is valid""",1
static const true_false_string pn_io_pdportstatistic_counter_status_ifInErrors = {,1
"    ""The content of the field ifInErrors is invalid. It shall be set to zero."",",1
"    ""The content of the field ifInErrors is valid""",1
static const true_false_string pn_io_pdportstatistic_counter_status_ifOutErrors = {,1
"    ""The content of the field ifOutErrors is invalid. It shall be set to zero."",",1
"    ""The content of the field ifOutErrors is valid""",1
static const value_string pn_io_pdportstatistic_counter_status_reserved[] = {,1
"dissect_profidrive_value(tvbuff_t *tvb, gint offset, packet_info *pinfo,",1
"                         proto_tree *tree, guint8 *drep, guint8 format_val)",1
    guint32 value32_,1
    guint16 value16_,1
    guint8  value8_,1
    switch(format_val),1
    case 1:,1
    case 2:,1
    case 5:,1
"        offset = dissect_dcerpc_uint8(tvb, offset, pinfo, tree, drep,",1
"            hf_pn_io_profidrive_param_value_byte, &value8)_",1
    case 3:,1
    case 6:,1
"        offset = dissect_dcerpc_uint16(tvb, offset, pinfo, tree, drep,",1
"            hf_pn_io_profidrive_param_value_word, &value16)_",1
    case 4:,1
    case 7:,1
"        offset = dissect_dcerpc_uint32(tvb, offset, pinfo, tree, drep,",1
"            hf_pn_io_profidrive_param_value_dword, &value32)_",1
    case 8:,1
"            hf_pn_io_profidrive_param_value_float, &value32)_",1
    case 9:,1
    case 0x0A:,1
            gint sLen_,1
"            sLen = (gint)tvb_strnlen( tvb, offset, -1)_",1
"            proto_tree_add_item(tree, hf_pn_io_profidrive_param_value_string, tvb, offset, sLen, ENC_ASCII|ENC_NA)_",1
            offset = (offset + sLen)_,1
        offset = offset + 1_,1
"        expert_add_info_format(pinfo, tree, &ei_pn_io_unsupported, ""Not supported or invalid format %u!"", format_val)_",1
    return(offset)_,1
static GList *pnio_ars_,1
typedef struct pnio_ar_s {,1
    /* generic */,1
    e_guid_t     aruuid_,1
    guint16      inputframeid_,1
    guint16      outputframeid_,1
    /* controller only */,1
    /*const char      controllername[33]_*/,1
    const guint8 controllermac[6]_,1
    guint16      controlleralarmref_,1
    /* device only */,1
    const guint8 devicemac[6]_,1
    guint16      devicealarmref_,1
    guint16      arType_,1
} pnio_ar_t_,1
"pnio_ar_info(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree, pnio_ar_t *ar)",1
"    p_add_proto_data(wmem_file_scope(), pinfo, proto_pn_io, 0, ar )_",1
"    p_add_proto_data(pinfo->pool, pinfo, proto_pn_io, 0, GUINT_TO_POINTER(10))_",1
        proto_item *item_,1
        proto_item *sub_item_,1
        proto_tree *sub_tree_,1
"        address   controllermac_addr, devicemac_addr_",1
"        set_address(&controllermac_addr, AT_ETHER, 6, ar->controllermac)_",1
"        set_address(&devicemac_addr, AT_ETHER, 6, ar->devicemac)_",1
"        sub_tree = proto_tree_add_subtree_format(tree, tvb, 0, 0, ett_pn_io_ar_info, &sub_item,",1
"            ""ARUUID:%s ContrMAC:%s ContrAlRef:0x%x DevMAC:%s DevAlRef:0x%x InCR:0x%x OutCR=0x%x"",",1
"            guid_to_str(wmem_packet_scope(), (const e_guid_t*) &ar->aruuid),",1
"            address_to_str(wmem_packet_scope(), &controllermac_addr), ar->controlleralarmref,",1
"            address_to_str(wmem_packet_scope(), &devicemac_addr), ar->devicealarmref,",1
"            ar->inputframeid, ar->outputframeid)_",1
        PROTO_ITEM_SET_GENERATED(sub_item)_,1
"        item = proto_tree_add_guid(sub_tree, hf_pn_io_ar_uuid, tvb, 0, 0, (e_guid_t *) &ar->aruuid)_",1
        PROTO_ITEM_SET_GENERATED(item)_,1
"        item = proto_tree_add_ether(sub_tree, hf_pn_io_cminitiator_macadd, tvb, 0, 0, ar->controllermac)_",1
"        item = proto_tree_add_uint(sub_tree, hf_pn_io_localalarmref, tvb, 0, 0, ar->controlleralarmref)_",1
"        item = proto_tree_add_ether(sub_tree, hf_pn_io_cmresponder_macadd, tvb, 0, 0, ar->devicemac)_",1
"        item = proto_tree_add_uint(sub_tree, hf_pn_io_localalarmref, tvb, 0, 0, ar->devicealarmref)_",1
"        item = proto_tree_add_uint(sub_tree, hf_pn_io_frame_id, tvb, 0, 0, ar->inputframeid)_",1
"        item = proto_tree_add_uint(sub_tree, hf_pn_io_frame_id, tvb, 0, 0, ar->outputframeid)_",1
"static int dissect_block(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo, proto_tree *tree, guint8 *drep, guint16 *u16Index, guint32 *u32RecDataLen, pnio_ar_t **ar)_",1
"static int dissect_a_block(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo, proto_tree *tree, guint8 *drep)_",1
"static int dissect_blocks(tvbuff_t *tvb, int offset,",1
"static int dissect_PNIO_IOxS(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo, proto_tree *tree, guint8 *drep, int hfindex)_",1
static pnio_ar_t *,1
"pnio_ar_find_by_aruuid(packet_info *pinfo _U_, e_guid_t *aruuid)",1
    GList     *ars_,1
    pnio_ar_t *ar_,1
    /* find pdev */,1
    for(ars = pnio_ars_ ars != NULL_ ars = g_list_next(ars)) {,1
        ar = (pnio_ar_t *)ars->data_,1
"        if (memcmp(&ar->aruuid, aruuid, sizeof(e_guid_t)) == 0) {",1
            return ar_,1
pnio_ar_new(e_guid_t *aruuid),1
"    ar = (pnio_ar_t *)wmem_alloc0(wmem_file_scope(), sizeof(pnio_ar_t))_",1
"    memcpy(&ar->aruuid, aruuid, sizeof(e_guid_t))_",1
    ar->controlleralarmref  = 0xffff_,1
    ar->devicealarmref      = 0xffff_,1
"    pnio_ars = g_list_append(pnio_ars, ar)_",1
    return ar_,1
/* dissect the four status (error) fields */,1
"dissect_PNIO_status(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo, proto_tree *tree, guint8 *drep)",1
    guint8  u8ErrorCode_,1
    guint8  u8ErrorDecode_,1
    guint8  u8ErrorCode1_,1
    guint8  u8ErrorCode2_,1
    proto_item *sub_item_,1
    proto_tree *sub_tree_,1
    guint32     u32SubStart_,1
    int         bytemask = (drep[0] & DREP_LITTLE_ENDIAN) ? 3 : 0_,1
    const value_string *error_code1_vals_,1
    const value_string *error_code2_vals = pn_io_error_code2_   /* defaults */,1
    /* status */,1
"    sub_item = proto_tree_add_item(tree, hf_pn_io_status, tvb, offset, 0, ENC_NA)_",1
"    sub_tree = proto_item_add_subtree(sub_item, ett_pn_io_status)_",1
    u32SubStart = offset_,1
"    /* the PNIOStatus field is existing in both the RPC and the application data,",1
     * depending on the current PDU.,1
"     * As the byte representation of these layers are different, this has to be handled",1
     * in a somewhat different way than elsewhere. */,1
"    dissect_dcerpc_uint8(tvb, offset+(0^bytemask), pinfo, sub_tree, drep,",1
"                         hf_pn_io_error_code, &u8ErrorCode)_",1
"    dissect_dcerpc_uint8(tvb, offset+(1^bytemask), pinfo, sub_tree, drep,",1
"                         hf_pn_io_error_decode, &u8ErrorDecode)_",1
    switch (u8ErrorDecode) {,1
    case(0x80): /* PNIORW */,1
"        dissect_dcerpc_uint8(tvb, offset+(2^bytemask), pinfo, sub_tree, drep,",1
"                             hf_pn_io_error_code1_pniorw, &u8ErrorCode1)_",1
        error_code1_vals = pn_io_error_code1_pniorw_,1
        /* u8ErrorCode2 for PNIORW is always user specific */,1
"        dissect_dcerpc_uint8(tvb, offset+(3^bytemask), pinfo, sub_tree, drep,",1
"                             hf_pn_io_error_code2_pniorw, &u8ErrorCode2)_",1
        error_code2_vals = pn_io_error_code2_pniorw_,1
    case(0x81): /* PNIO */,1
"                             hf_pn_io_error_code1_pnio, &u8ErrorCode1)_",1
        error_code1_vals = pn_io_error_code1_pnio_,1
        switch (u8ErrorCode1) {,1
        case(1):,1
"            dissect_dcerpc_uint8(tvb, offset+(3^bytemask), pinfo, sub_tree, drep,",1
"                                 hf_pn_io_error_code2_pnio_1, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_1_,1
        case(2):,1
"                                 hf_pn_io_error_code2_pnio_2, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_2_,1
        case(3):,1
"                                 hf_pn_io_error_code2_pnio_3, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_3_,1
        case(4):,1
"                                 hf_pn_io_error_code2_pnio_4, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_4_,1
        case(5):,1
"                                 hf_pn_io_error_code2_pnio_5, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_5_,1
        case(6):,1
"                                 hf_pn_io_error_code2_pnio_6, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_6_,1
        case(7):,1
"                                 hf_pn_io_error_code2_pnio_7, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_7_,1
        case(8):,1
"                                 hf_pn_io_error_code2_pnio_8, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_8_,1
        case(13):,1
"            dissect_dcerpc_uint8(tvb, offset + (3 ^ bytemask), pinfo, sub_tree, drep,",1
"                                 hf_pn_io_error_code2_pnio_13, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_13_,1
        case(20):,1
"                                 hf_pn_io_error_code2_pnio_20, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_20_,1
        case(21):,1
"                                 hf_pn_io_error_code2_pnio_21, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_21_,1
        case(22):,1
"                                 hf_pn_io_error_code2_pnio_22, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_22_,1
        case(23):,1
"                                 hf_pn_io_error_code2_pnio_23, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_23_,1
        case(40):,1
"                                 hf_pn_io_error_code2_pnio_40, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_40_,1
        case(60) :,1
"                                 hf_pn_io_error_code2_pnio_60, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_60_,1
        case(61):,1
"                                 hf_pn_io_error_code2_pnio_61, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_61_,1
        case(62):,1
"                                 hf_pn_io_error_code2_pnio_62, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_62_,1
        case(63):,1
"                                 hf_pn_io_error_code2_pnio_63, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_63_,1
        case(64):,1
"                                 hf_pn_io_error_code2_pnio_64, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_64_,1
        case(65):,1
"                                 hf_pn_io_error_code2_pnio_65, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_65_,1
        case(66):,1
"                                 hf_pn_io_error_code2_pnio_66, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_66_,1
        case(70):,1
"                                 hf_pn_io_error_code2_pnio_70, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_70_,1
        case(71):,1
"                                 hf_pn_io_error_code2_pnio_71, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_71_,1
        case(72):,1
"                                 hf_pn_io_error_code2_pnio_72, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_72_,1
        case(73):,1
"                                 hf_pn_io_error_code2_pnio_73, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_73_,1
        case(74):,1
"                                 hf_pn_io_error_code2_pnio_74, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_74_,1
        case(75):,1
"                                 hf_pn_io_error_code2_pnio_75, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_75_,1
        case(76):,1
"                                 hf_pn_io_error_code2_pnio_76, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_76_,1
        case(77):,1
"                                 hf_pn_io_error_code2_pnio_77, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_77_,1
        case(253):,1
"                                 hf_pn_io_error_code2_pnio_253, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_253_,1
        case(255):,1
"                                 hf_pn_io_error_code2_pnio_255, &u8ErrorCode2)_",1
            error_code2_vals = pn_io_error_code2_pnio_255_,1
"            /* don't know this u8ErrorCode1 for PNIO, use defaults */",1
"                                 hf_pn_io_error_code2, &u8ErrorCode2)_",1
"            expert_add_info_format(pinfo, sub_item, &ei_pn_io_error_code1, ""Unknown ErrorCode1 0x%x (for ErrorDecode==PNIO)"", u8ErrorCode1)_",1
"                             hf_pn_io_error_code1, &u8ErrorCode1)_",1
        if (u8ErrorDecode!=0) {,1
"            expert_add_info_format(pinfo, sub_item, &ei_pn_io_error_code1, ""Unknown ErrorDecode 0x%x"", u8ErrorDecode)_",1
        error_code1_vals = pn_io_error_code1_,1
"        /* don't know this u8ErrorDecode, use defaults */",1
"                             hf_pn_io_error_code2, &u8ErrorCode2)_",1
        if (u8ErrorDecode != 0) {,1
"            expert_add_info_format(pinfo, sub_item, &ei_pn_io_error_code2, ""Unknown ErrorDecode 0x%x"", u8ErrorDecode)_",1
    if ((u8ErrorCode == 0) && (u8ErrorDecode == 0) && (u8ErrorCode1 == 0) && (u8ErrorCode2 == 0)) {,1
"        proto_item_append_text(sub_item, "": OK"")_",1
"        col_append_str(pinfo->cinfo, COL_INFO, "", OK"")_",1
"        proto_item_append_text(sub_item, "": Error: \""%s\"", \""%s\"", \""%s\"", \""%s\"""",",1
"            val_to_str(u8ErrorCode, pn_io_error_code, ""(0x%x)""),",1
"            val_to_str(u8ErrorDecode, pn_io_error_decode, ""(0x%x)""),",1
"            val_to_str(u8ErrorCode1, error_code1_vals, ""(0x%x)""),",1
"            val_to_str(u8ErrorCode2, error_code2_vals, ""(0x%x)""))_",1
"        col_append_fstr(pinfo->cinfo, COL_INFO, "", Error: \""%s\"", \""%s\"", \""%s\"", \""%s\"""",",1
"    proto_item_set_len(sub_item, offset - u32SubStart)_",1
/* dissect the alarm specifier */,1
"dissect_Alarm_specifier(tvbuff_t *tvb, int offset,",1
    guint16     u16AlarmSpecifierSequence_,1
    guint16     u16AlarmSpecifierChannel_,1
    guint16     u16AlarmSpecifierManufacturer_,1
    guint16     u16AlarmSpecifierSubmodule_,1
    guint16     u16AlarmSpecifierAR_,1
    /* alarm specifier */,1
"    sub_item = proto_tree_add_item(tree, hf_pn_io_alarm_specifier, tvb, offset, 2, ENC_NA)_",1
"    sub_tree = proto_item_add_subtree(sub_item, ett_pn_io_pdu_type)_",1
"    dissect_dcerpc_uint16(tvb, offset, pinfo, sub_tree, drep,",1
"                        hf_pn_io_alarm_specifier_sequence, &u16AlarmSpecifierSequence)_",1
    u16AlarmSpecifierSequence &= 0x07FF_,1
"                        hf_pn_io_alarm_specifier_channel, &u16AlarmSpecifierChannel)_",1
    u16AlarmSpecifierChannel = (u16AlarmSpecifierChannel &0x0800) >> 11_,1
"                        hf_pn_io_alarm_specifier_manufacturer, &u16AlarmSpecifierManufacturer)_",1
    u16AlarmSpecifierManufacturer = (u16AlarmSpecifierManufacturer &0x1000) >> 12_,1
"                        hf_pn_io_alarm_specifier_submodule, &u16AlarmSpecifierSubmodule)_",1
    u16AlarmSpecifierSubmodule = (u16AlarmSpecifierSubmodule & 0x2000) >> 13_,1
"    offset = dissect_dcerpc_uint16(tvb, offset, pinfo, sub_tree, drep,",1
"                        hf_pn_io_alarm_specifier_ardiagnosis, &u16AlarmSpecifierAR)_",1
    u16AlarmSpecifierAR = (u16AlarmSpecifierAR & 0x8000) >> 15_,1
"    proto_item_append_text(sub_item, "", Sequence: %u, Channel: %u, Manuf: %u, Submodule: %u AR: %u"",",1
"        u16AlarmSpecifierSequence, u16AlarmSpecifierChannel,",1
"        u16AlarmSpecifierManufacturer, u16AlarmSpecifierSubmodule, u16AlarmSpecifierAR)_",1
/* dissect the alarm header */,1
"dissect_Alarm_header(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo, proto_tree *tree, proto_item *item, guint8 *drep)",1
    guint16 u16AlarmType_,1
    guint32 u32Api_,1
    guint16 u16SlotNr_,1
    guint16 u16SubslotNr_,1
"    offset = dissect_dcerpc_uint16(tvb, offset, pinfo, tree, drep,",1
"                        hf_pn_io_alarm_type, &u16AlarmType)_",1
"    offset = dissect_dcerpc_uint32(tvb, offset, pinfo, tree, drep,",1
"                        hf_pn_io_api, &u32Api)_",1
"                        hf_pn_io_slot_nr, &u16SlotNr)_",1
"                        hf_pn_io_subslot_nr, &u16SubslotNr)_",1
"    proto_item_append_text(item, "", %s, API:%u, Slot:0x%x/0x%x"",",1
"        val_to_str(u16AlarmType, pn_io_alarm_type, ""(0x%x)""),",1
"        u32Api, u16SlotNr, u16SubslotNr)_",1
"    col_append_fstr(pinfo->cinfo, COL_INFO, "", %s, Slot: 0x%x/0x%x"",",1
"        u16SlotNr, u16SubslotNr)_",1
"dissect_ChannelProperties(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo, proto_tree *tree, proto_item *item _U_, guint8 *drep)",1
    guint16     u16ChannelProperties_,1
"    sub_item = proto_tree_add_item(tree, hf_pn_io_channel_properties, tvb, offset, 2, ENC_BIG_ENDIAN)_",1
"    sub_tree = proto_item_add_subtree(sub_item, ett_pn_io_channel_properties)_",1
"                    hf_pn_io_channel_properties_direction, &u16ChannelProperties)_",1
"                    hf_pn_io_channel_properties_specifier, &u16ChannelProperties)_",1
"                    hf_pn_io_channel_properties_maintenance, &u16ChannelProperties)_",1
"                    hf_pn_io_channel_properties_accumulative, &u16ChannelProperties)_",1
"                    hf_pn_io_channel_properties_type, &u16ChannelProperties)_",1
/* dissect the RS_BlockHeader */,1
"dissect_RS_BlockHeader(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo _U_, proto_tree *tree, proto_item *item, guint8 *drep,",1
"    guint16 *u16RSBodyLength, guint16 *u16RSBlockType)",1
    guint16 u16RSBlockLength_,1
    guint8  u8BlockVersionHigh_,1
    guint8  u8BlockVersionLow_,1
    /* u16RSBlockType is needed for further dissection */,1
"        hf_pn_io_rs_block_type, u16RSBlockType)_",1
"        hf_pn_io_rs_block_length, &u16RSBlockLength)_",1
"    offset = dissect_dcerpc_uint8(tvb, offset, pinfo, tree, drep,",1
"        hf_pn_io_block_version_high, &u8BlockVersionHigh)_",1
"        hf_pn_io_block_version_low, &u8BlockVersionLow)_",1
"    proto_item_append_text(item, "": Type=%s, Length=%u(+4), Version=%u.%u"",",1
"        rval_to_str(*u16RSBlockType, pn_io_rs_block_type, ""Unknown (0x%04x)""),",1
"        u16RSBlockLength, u8BlockVersionHigh, u8BlockVersionLow)_",1
"    /* Block length is without type and length fields, but with version field */",1
"    /* as it's already dissected, remove it */",1
    *u16RSBodyLength = u16RSBlockLength - 2_,1
    /* Padding 2 + 2 + 1 + 1 = 6 */,1
    /* Therefore we need 2 byte padding to make the block u32 aligned */,1
"    offset = dissect_pn_padding(tvb, offset, pinfo, tree, 2)_",1
    /* remove padding */,1
    *u16RSBodyLength -= 2_,1
"dissect_RS_AddressInfo(tvbuff_t *tvb, int offset,",1
"    packet_info *pinfo _U_, proto_tree *tree, guint8 *drep, guint16 *u16RSBodyLength)",1
    e_guid_t IM_UniqueIdentifier_,1
    guint32  u32Api_,1
    guint16  u16SlotNr_,1
    guint16  u16SubslotNr_,1
    guint16  u16ChannelNumber_,1
    /* IM_UniqueIdentifier */,1
"    offset = dissect_dcerpc_uuid_t(tvb, offset, pinfo, tree, drep,",1
"        hf_pn_io_ar_uuid, &IM_UniqueIdentifier)_",1
    *u16RSBodyLength -= 16_,1
    /* API */,1
"        hf_pn_io_api, &u32Api)_",1
    *u16RSBodyLength -= 4_,1
    /* SlotNumber */,1
"        hf_pn_io_slot_nr, &u16SlotNr)_",1
    /* SubSlotNumber*/,1
"        hf_pn_io_subslot_nr, &u16SubslotNr)_",1
    /* Channel Number*/,1
"        hf_pn_io_channel_number, &u16ChannelNumber)_",1
/* dissect the RS_EventDataCommon */,1
"dissect_RS_EventDataCommon(tvbuff_t *tvb, int offset,",1
    guint16     u16RSSpecifierSequenceNumber_,1
    guint16     u16RSSpecifierReserved_,1
    guint16     u16RSSpecifierSpecifier_,1
    guint16     u16RSMinorError_,1
    guint16     u16RSPlusError_,1
    proto_item  *sub_item_,1
    proto_tree  *sub_tree_,1
    proto_item  *sub_item_time_stamp_,1
    proto_tree  *sub_tree_time_stamp_,1
    nstime_t    timestamp_,1
    guint16     u16RSTimeStampStatus_,1
    /* RS_AddressInfo */,1
"    offset = dissect_RS_AddressInfo(tvb, offset, pinfo, tree, drep, u16RSBodyLength)_",1
    /* RS_Specifier */,1
